log_id,user_id,nutrition_fact_id,consumed_at
586cb60a-369e-41a5-bf30-e5fa597496c2,bd7838a4-cb23-4cf0-88cc-9b49a83245c7,4f86b7c9-6d7f-4d4e-a52e-de65a8dec774,2025-12-04 07:07:16.80101+00
0cc96b5d-2f1a-4690-bca4-bea38a4a7691,bd7838a4-cb23-4cf0-88cc-9b49a83245c7,3b891a4a-3872-46d3-a6f3-7366ddb9151c,2025-12-04 07:52:39.356395+00
0cadc63a-6ce4-4309-8011-be0de107a8a0,bd7838a4-cb23-4cf0-88cc-9b49a83245c7,2b864d61-aa0e-4dac-943a-c80355b9866b,2025-12-04 08:06:01.210953+00
c40aa655-9209-4f62-b7c0-13467f269706,3c12c130-5ccb-4117-94d5-d73c615d9e76,4d9260fe-6a5b-4f80-a749-9f7ca1ee57a6,2025-12-04 13:17:18.602583+00
3eee05ed-e19e-4537-beae-41cc362c66b0,3c12c130-5ccb-4117-94d5-d73c615d9e76,13b1a26b-8f28-48fa-b6b4-cb7474eea0fe,2025-12-04 13:18:25.036735+00
8379ee1f-1f06-4084-af20-55fb79cb46c1,3c12c130-5ccb-4117-94d5-d73c615d9e76,63c98816-f724-456c-955d-bf0c87d7a4b5,2025-12-04 13:20:45.906139+00
7e0f344f-23af-4e66-8618-68d8a03feda6,0adeea53-dda3-4e66-832e-3a8d0b6a5aa7,43a9279c-d848-49ea-95f7-2f7616ec0441,2025-12-05 02:51:27.074116+00
ea3ea6d2-d517-4d32-952a-cd4e117c6115,bd7838a4-cb23-4cf0-88cc-9b49a83245c7,16f5376a-b333-454b-98d3-1efd55b62ab0,2025-12-05 14:29:01.511891+00
be2236d2-83b8-4f9f-bd84-6dd2db62bbf1,3c12c130-5ccb-4117-94d5-d73c615d9e76,cf94f7cc-e47c-4392-a920-fc8a723bd0b9,2025-12-05 20:16:15.321248+00
f51cf0a6-13ff-47d7-938f-daf2463fa4f8,1f617390-b257-455b-9a35-ab8396969ca4,106a73b7-0f9f-4c12-bda0-82580a250200,2025-12-06 03:00:19.251891+00
9d2614f5-3ca6-4876-9556-999f8b65e45f,1f617390-b257-455b-9a35-ab8396969ca4,d6b2c6bb-d681-4e30-a1e7-b413dd560081,2025-12-06 03:00:54.506899+00
a9c1afb5-7113-4064-bf2d-3250cc4e61c8,41824bd8-dc58-44e8-8f72-824d30fa5119,f707a957-897b-44f9-83b1-6f8638af34fb,2025-12-06 03:22:35.870692+00
438155c7-bfae-45cc-b7f1-f5dd51a42bd6,04f86f70-29e4-4abf-9056-4739e767f76c,1b2e8691-b1c7-4876-b7a0-9bf42ae2f3e8,2025-12-06 03:27:49.144225+00
817b3645-b8cc-4ca6-a765-6dd943f9c77b,04f86f70-29e4-4abf-9056-4739e767f76c,1ca2c772-4c60-490e-b3e2-0c526378b565,2025-12-06 03:28:28.634602+00
873befd8-6955-406a-a6ad-b90153c169be,3a0c28e0-1c91-4a57-b886-9b06bbdca69c,612a1825-2f42-4846-bb49-2a6eb45b0077,2025-12-06 03:33:02.491838+00
